Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,33.125,44.345,-90.0,top
C2,0.1uF,C_0603_1608Metric,26.325,47.845,0.0,top
C3,330pF,C_0603_1608Metric,16.8,21.6,-90.0,top
C4,1uF,C_0603_1608Metric,24.5,28.9,90.0,top
C5,0.1uF,C_0603_1608Metric,19.1,16.0,180.0,top
C6,0.1uF,C_0603_1608Metric,16.8,24.6,-90.0,top
C7,0.1uF,C_0603_1608Metric,27.1,15.2,0.0,top
C8,0.1uF,C_0603_1608Metric,23.0,28.9,90.0,top
C9,1uF,C_0603_1608Metric,26.8,24.9,0.0,top
C10,0.1uF,C_0603_1608Metric,62.675,33.85,0.0,top
C11,0.1uF,C_0603_1608Metric,45.275,47.25,90.0,top
C12,0.1uF,C_0603_1608Metric,63.2,14.8,-90.0,top
C13,0.1uF,C_0603_1608Metric,55.6,14.8,90.0,top
C14,0.1uF,C_0603_1608Metric,58.2,32.1,-90.0,top
C15,0.1uF,C_0603_1608Metric,62.475,44.55,0.0,top
C16,0.1uF,C_0603_1608Metric,45.625,35.85,180.0,top
C17,0.1uF,C_0603_1608Metric,50.575,49.15,90.0,top
C18,0.1uF,C_0603_1608Metric,52.075,49.15,90.0,top
C19,0.1uF,C_0603_1608Metric,45.4,86.9,-90.0,top
C20,10uF,C_0603_1608Metric,29.329,70.015,180.0,top
C21,0.1uF,C_0603_1608Metric,35.129,68.715,90.0,top
C22,0.1uF,C_0603_1608Metric,16.2,32.8,180.0,top
C23,22uF,C_0603_1608Metric,32.029,74.915,180.0,top
C24,1nF,C_0603_1608Metric,52.6,58.025,90.0,bottom
C25,1uF,C_0603_1608Metric,51.1,58.025,90.0,bottom
C26,1uF,C_0603_1608Metric,53.35,53.8,0.0,bottom
C27,10uF,C_0603_1608Metric,48.35,72.425,90.0,top
C28,10uF,C_0603_1608Metric,46.85,72.425,90.0,top
C29,0.1uF,C_0603_1608Metric,45.35,72.425,90.0,top
C30,0.1uF,C_0603_1608Metric,47.55,66.425,0.0,top
C31,22uF,C_0603_1608Metric,56.65,66.025,-90.0,top
C32,22uF,C_0603_1608Metric,58.25,66.025,-90.0,top
C33,22uF,C_0603_1608Metric,32.029,76.415,180.0,top
C34,10nF,C_0603_1608Metric,59.125,53.85,90.0,top
C35,1uF,C_0603_1608Metric,60.625,53.85,-90.0,top
C36,1uF,C_0603_1608Metric,59.875,56.1,180.0,top
C37,10uF,CP_EIA-3216-10_Kemet-I,64.375,60.4,90.0,top
C38,0.1uF,C_0603_1608Metric,62.525,59.575,90.0,top
C39,0.1uF,C_0603_1608Metric,66.775,54.7,-90.0,top
C40,10uF,CP_EIA-3216-10_Kemet-I,68.65,54.75,-90.0,top
C41,0.1uF,C_0603_1608Metric,64.7,51.15,-90.0,top
C42,10uF,CP_EIA-3216-10_Kemet-I,66.5,50.65,-90.0,top
C43,1uF,C_0603_1608Metric,60.975,59.575,90.0,top
C44,0.1uF,C_0603_1608Metric,66.975,59.5,0.0,top
C45,1uF,C_0603_1608Metric,66.975,58.01,0.0,top
D1,UPS840E3/TR13,POWERMITE3_MCH,22.92035,54.835,-90.0,top
D2,150060YS75000,D_0603_1608Metric,59.4,48.5,180.0,top
D3,UPS840E3/TR13,POWERMITE3_MCH,22.92035,61.915,-90.0,top
D4,150060GS75000,D_0603_1608Metric,23.0625,66.7,0.0,top
FB1,FerriteBead,L_0603_1608Metric,53.575,49.15,90.0,top
FB2,FerriteBead,L_0603_1608Metric,62.675,32.35,180.0,top
FB3,FerriteBead,L_0603_1608Metric,66.975,61.0,0.0,top
J1,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,22.0,45.76,0.0,top
J2,Conn_02x02_Odd_Even,Molex_Nano-Fit_105314-xx04_2x02_P2.50mm_Horizontal,8.56,39.75,180.0,top
J3,Conn_02x02_Odd_Even,Molex_Nano-Fit_105314-xx04_2x02_P2.50mm_Horizontal,8.56,51.95,180.0,top
J4,Conn_01x03_Pin,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,65.4,10.0,0.0,top
J5,Conn_01x04_Pin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,42.7,3.4,0.0,top
J6,USB_C_Receptacle_USB2.0_14P,AMPHENOL_12402012E212A,5.11,74.9,-90.0,top
J7,S4B-XH-A-1(LF)(SN),JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,8.1,21.45,-90.0,top
J8,0530480210,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,5.0,31.875,-90.0,top
J10,Conn_01x03_Pin,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,53.4,10.0,0.0,top
J11,Conn_01x02_Pin,Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,25.35,7.335,-90.0,top
J12,Conn_01x04_Pin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,34.2,3.4,0.0,top
J13,Conn_01x02_Pin,Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,13.15,7.335,-90.0,top
J20,Barrel_Jack,BarrelJack_GCT_DCJ200-10-A_Horizontal,11.05,61.75,-90.0,top
L1,3.3uH,L_TDK_VLS6045EX_VLS6045AF,52.55,69.025,0.0,top
L2,3.3uH,L_Taiyo_Yuden_MAMK,33.229,72.515,90.0,top
MIC1,IMP23ABSUTR,RHLGA5_3P5X2P65X0P98_STM,49.75055,54.725,180.0,bottom
R1,120,R_0603_1608Metric,19.45,45.45,-90.0,top
R2,5.1k,R_0603_1608Metric,9.6,71.5,-90.0,top
R3,5.1k,R_0603_1608Metric,10.0,78.0,90.0,top
R4,47,R_0603_1608Metric,14.4,25.5,0.0,top
R5,47,R_0603_1608Metric,14.4,23.9,0.0,top
R6,10k,R_0603_1608Metric,8.4,32.0,90.0,top
R7,10k,R_0603_1608Metric,43.075,44.85,0.0,top
R8,10k,R_0603_1608Metric,39.675,55.85,180.0,top
R9,10k,R_0603_1608Metric,20.2,77.8,-90.0,top
R10,10k,R_0603_1608Metric,27.5,77.8,-90.0,top
R11,10k,R_0603_1608Metric,62.975,41.95,180.0,top
R12,33.2k,R_0603_1608Metric,29.325,68.525,0.0,top
R13,10k,R_0603_1608Metric,29.325,67.025,180.0,top
R14,220,R_0603_1608Metric,59.4,50.05,180.0,top
R15,3.3k,R_0603_1608Metric,23.0625,68.2,0.0,top
R16,54.9k,R_0603_1608Metric,42.75,69.925,0.0,top
R17,10k,R_0603_1608Metric,42.75,68.425,180.0,top
R18,1k,R_0603_1608Metric,16.2,31.2,0.0,top
R19,4.7k,R_0603_1608Metric,44.2,9.1,180.0,top
R20,4.7k,R_0603_1608Metric,45.1,7.5,180.0,top
R21,4.7k,R_0603_1608Metric,43.075,42.25,0.0,top
R22,4.7k,R_0603_1608Metric,43.075,40.75,0.0,top
R23,4.7k,R_0603_1608Metric,35.75,9.0,180.0,top
R24,4.7k,R_0603_1608Metric,36.6,7.5,180.0,top
R25,10k,R_0603_1608Metric,27.7,86.9,-90.0,top
R26,10k,R_0603_1608Metric,45.7,83.9,90.0,top
R27,10k,R_0603_1608Metric,8.75,10.925,90.0,top
R28,10k,R_0603_1608Metric,20.95,10.925,90.0,top
R29,49.9k,R_0603_1608Metric,51.875,54.65,0.0,top
R30,49.9k,R_0603_1608Metric,51.875,53.15,180.0,top
R31,165,R_0603_1608Metric,57.625,53.85,-90.0,top
SW1,SW_DIP_x02,DIP-4_W8.89mm_SMDSocket_LongPads,23.9,82.6,90.0,top
SW2,CK_PTS526_SK15_Switch,CK_PTS526_SK15_Switch,40.7,86.0,180.0,top
SW3,CK_PTS526_SK15_Switch,CK_PTS526_SK15_Switch,32.5,86.0,180.0,top
U1,ATA6561,SOIC-8_3.9x4.9mm_P1.27mm,28.525,44.345,180.0,top
U3,MCP6001R,SOT-23-5,55.125,53.3125,-90.0,top
U4,NAU7802,SOP-16_3.9x9.9mm_P1.27mm,21.5,22.1,0.0,top
U5,KC2520Z4.91520C1KX00,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,27.1,17.8,180.0,top
U6,TXB0102DCU,VSSOP-8_2.3x2mm_P0.5mm,59.4,14.7,180.0,top
U7,ESD122DMYR,DMY0003A,10.6,74.4,180.0,top
U8,STM32G474RETx,LQFP-64_10x10mm_P0.5mm,54.075,40.35,180.0,top
U9,TPS561201,SOT-23-6,32.529,68.715,-90.0,top
U10,MCP6001R,SOT-23-5,12.5,32.2,0.0,top
U11,PCM1822IRTER,WQFN20_RTE_TEX,64.071889,54.940513,0.0,top
U12,TPS565208,SOT-23-6,46.95,69.025,180.0,top
U13,ESD122DMYR,DMY0003A,15.275001,42.499999,0.0,top
U14,ESD122DMYR,DMY0003A,10.799999,48.024999,-90.0,top
U15,W25Q16JVSSIQ,SOIC-8_5.23x5.23mm_P1.27mm,41.605,50.4,-90.0,top
XTAL1,ASEMB-8.000MHZ-LC-T,ABRACON_ASE,62.775,36.95,90.0,top
