Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,57.2,50.6,-90.0,top
C10,0.1uF,C_0603_1608Metric,76.3,16.0,180.0,top
C11,22nF,C_0402_1005Metric,76.0,14.1,-90.0,top
C12,2.2uF,C_0603_1608Metric,71.6,19.9,90.0,top
C13,1uF,C_0603_1608Metric,77.5,81.875,90.0,top
C14,51pF,C_0603_1608Metric,67.7,79.675,-90.0,top
C15,51pF,C_0603_1608Metric,67.7,82.675,90.0,top
C16,0.1uF,C_0603_1608Metric,55.5,44.4,0.0,top
C17,0.1uF,C_0603_1608Metric,53.0,34.5,-90.0,top
C18,0.1uF,C_0603_1608Metric,49.0,16.8,180.0,top
C19,100uF,CP_Elec_6.3x7.7,59.0,22.2,90.0,top
C2,0.1uF,C_0603_1608Metric,45.0,55.7,180.0,top
C20,0.1uF,C_0603_1608Metric,56.9,9.7,-90.0,top
C21,0.1uF,C_0603_1608Metric,49.7,9.7,-90.0,top
C22,0.1uF,C_0603_1608Metric,58.6,16.5,180.0,top
C23,22nF,C_0402_1005Metric,57.9,14.8,-90.0,top
C24,2.2uF,C_0603_1608Metric,54.7,20.1,90.0,top
C25,0.1uF,C_0603_1608Metric,31.4,17.6,180.0,top
C26,100uF,CP_Elec_6.3x7.7,42.0,22.2,90.0,top
C27,0.1uF,C_0603_1608Metric,39.4,9.6,-90.0,top
C28,0.1uF,C_0603_1608Metric,32.1,9.9,-90.0,top
C29,0.1uF,C_0603_1608Metric,40.9,16.4,180.0,top
C3,0.1uF,C_0603_1608Metric,50.0,67.9,90.0,top
C30,22nF,C_0402_1005Metric,40.4,14.7,-90.0,top
C31,2.2uF,C_0603_1608Metric,37.7,20.0,90.0,top
C32,0.1uF,C_0603_1608Metric,20.075,97.8,0.0,top
C33,0.1uF,C_0603_1608Metric,89.1,54.5,90.0,top
C34,0.1uF,C_0603_1608Metric,90.7,54.5,90.0,top
C35,0.1uF,C_0603_1608Metric,39.1,34.0,90.0,top
C36,22uF,C_0603_1608Metric,45.4,33.1,-90.0,top
C37,22uF,C_0603_1608Metric,43.9,33.1,-90.0,top
C38,0.1uF,C_0603_1608Metric,31.8,42.7,0.0,top
C39,0.1uF,C_0603_1608Metric,26.1,52.7,180.0,top
C4,0.1uF,C_0603_1608Metric,61.7,63.4,0.0,top
C40,10uF,C_0603_1608Metric,32.6,48.7,90.0,top
C41,10uF,C_0603_1608Metric,29.5,48.7,90.0,top
C42,0.1uF,C_0603_1608Metric,31.0,48.7,90.0,top
C43,22uF,C_0603_1608Metric,41.0,43.6,-90.0,top
C44,22uF,C_0603_1608Metric,42.6,43.6,-90.0,top
C45,0.1uF,C_0603_1608Metric,62.0,53.0,0.0,top
