Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,57.1,38.3,90,top
C2,0.1uF,C_0603_1608Metric,69.3,33.2,0,top
C3,0.1uF,C_0603_1608Metric,64.3,21,-90,top
C4,0.1uF,C_0603_1608Metric,52.6,25.5,180,top
C5,0.1uF,C_0603_1608Metric,62.8,21,-90,top
C6,0.1uF,C_0603_1608Metric,47.4,71.6,0,top
C7,100uF,CP_Elec_6.3x7.7,38.3,66.7,-90,top
C8,0.1uF,C_0603_1608Metric,39.5,79.5,90,top
C9,0.1uF,C_0603_1608Metric,47.3,79.3,90,top
C10,0.1uF,C_0603_1608Metric,38,72.9,0,top
C11,22nF,C_0402_1005Metric,38.3,74.8,90,top
C12,2.2uF,C_0603_1608Metric,42.7,69,-90,top
C13,1uF,C_0603_1608Metric,46.6,13.1,-90,top
C14,51pF,C_0603_1608Metric,55.9,17.7,0,top
C15,51pF,C_0603_1608Metric,49.5,15.8,180,top
C16,0.1uF,C_0603_1608Metric,58.8,44.5,180,top
C17,0.1uF,C_0603_1608Metric,61.3,54.4,90,top
C18,0.1uF,C_0603_1608Metric,65.3,72,0,top
C19,100uF,CP_Elec_6.3x7.7,55.3,66.7,-90,top
C20,0.1uF,C_0603_1608Metric,57.4,79.2,90,top
C21,0.1uF,C_0603_1608Metric,64.6,79.2,90,top
C22,0.1uF,C_0603_1608Metric,55.7,72.4,0,top
C23,22nF,C_0402_1005Metric,56.4,74.1,90,top
C24,2.2uF,C_0603_1608Metric,59.6,68.8,-90,top
C25,0.1uF,C_0603_1608Metric,82.9,71.3,0,top
C26,100uF,CP_Elec_6.3x7.7,72.3,66.7,-90,top
C27,0.1uF,C_0603_1608Metric,74.9,79.3,90,top
C28,0.1uF,C_0603_1608Metric,82.2,78.1,90,top
C29,0.1uF,C_0603_1608Metric,73.4,72.5,0,top
C30,22nF,C_0402_1005Metric,73.9,74.2,90,top
C31,2.2uF,C_0603_1608Metric,76.6,68.9,-90,top
C32,0.1uF,C_0603_1608Metric,96.5,7.1,180,top
C33,0.1uF,C_0603_1608Metric,25.2,34.4,-90,top
C34,0.1uF,C_0603_1608Metric,23.6,34.4,-90,top
C35,0.1uF,C_0603_1608Metric,75.2,54.9,-90,top
C36,22uF,C_0603_1608Metric,68.9,55.8,90,top
C37,22uF,C_0603_1608Metric,70.4,55.8,90,top
C38,0.1uF,C_0603_1608Metric,82.5,46.2,180,top
C39,0.1uF,C_0603_1608Metric,88.675,36.2,0,top
C40,10uF,C_0603_1608Metric,81.7,40.2,-90,top
C41,10uF,C_0603_1608Metric,84.8,40.2,-90,top
C42,0.1uF,C_0603_1608Metric,83.3,40.2,-90,top
C43,22uF,C_0603_1608Metric,73.3,45.3,90,top
C44,22uF,C_0603_1608Metric,71.7,45.3,90,top
C45,0.1uF,C_0603_1608Metric,52.3,35.9,180,top
C46,0.1uF,C_0603_1608Metric,17,72.1,180,top
C47,0.1uF,C_0603_1608Metric,17,73.7,180,top
C48,0.1uF,C_0603_1608Metric,47.8,3,90,top
C49,10uF,C_0603_1608Metric,76.8,51.5,-90,top
D1,150060YS75000,D_0603_1608Metric,69,17.4,180,top
D2,150060GS75000,D_0603_1608Metric,105.7,52.9,0,top
D3,UPS840E3/TR13,POWERMITE3_MCH,95.4,66.2,180,top
D4,UPS840E3/TR13,POWERMITE3_MCH,92.4,58.2,0,top
FB1,FerriteBead,L_0603_1608Metric,52.3,37.6,0,top
FB2,FerriteBead,L_0603_1608Metric,61.2,21,-90,top
J2,Conn_01x04_Pin,JST_ZH_S4B-ZR_1x04_P1.50mm_Horizontal,43.4,82.9,180,top
J3,Conn_01x03_Pin,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,10.2,78.6,180,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,100.8,69.3,90,top
